ID,Source,Destination,Timestamp,Airfare,Seat Availability
4008,Phoenix,Houston,3048637348,988.2979185800996,59
1037,Houston,Dallas,3948850709,494.5489461313056,20
4665,Philadelphia,San Diego,1687373025,344.33125332776694,71
5280,Houston,Dallas,3991315876,311.2838427600391,87
2501,Chicago,Chicago,1718172007,658.6061588452022,23
3613,New York,Dallas,3432510339,602.3267640309593,60
6764,Philadelphia,San Jose,1914390942,393.92689274358696,23
1302,Philadelphia,Chicago,2485678415,263.5794679065972,1
4068,Los Angeles,Phoenix,3607861747,871.1835380807448,89
2399,New York,New York,4163834229,612.340687544183,63
9707,Dallas,San Jose,147988658,545.1280416411884,76
6510,Phoenix,San Diego,3619347846,744.3319599745059,66
9751,Phoenix,Phoenix,1834151208,435.85327285270256,5
8768,Los Angeles,San Antonio,1140780537,197.5025532182443,53
9804,Houston,Philadelphia,1811884341,103.881434887574,85
4788,Chicago,Los Angeles,3563678364,342.8766637061759,21
5647,Philadelphia,Chicago,1943137975,969.0613929279832,91
9936,Philadelphia,New York,878843842,255.3901618912868,56
7521,San Antonio,Chicago,620822497,220.26217443339502,56
3855,New York,Philadelphia,1028269922,728.1437118627389,93
6888,San Antonio,San Diego,454087216,637.4333954060081,87
4046,Chicago,Houston,2929115425,488.268452506146,28
4139,Dallas,Dallas,275308731,427.2357804587867,43
2358,Phoenix,Chicago,226428739,725.7911163442853,50
7612,Dallas,San Diego,2189746459,933.1861864709597,51
8398,Philadelphia,Los Angeles,583060529,793.3782939630912,23
9683,San Diego,San Diego,1942938353,684.9038066865251,20
5538,Philadelphia,Chicago,2362481198,553.4796160299793,85
6903,Los Angeles,New York,149921593,928.6153545385932,61
3399,San Jose,New York,3751763754,104.20090810301042,29
5267,Dallas,Chicago,8262756,349.32264211283507,92
5850,San Diego,Philadelphia,2589083774,995.3716518487731,85
6911,San Jose,Dallas,2009582558,204.15615183971607,76
4067,San Jose,Houston,3441838316,897.3147631107192,2
8780,Chicago,Dallas,3393265216,663.0767083603674,78
4538,San Jose,Phoenix,1984223249,607.3753848835779,58
6300,Los Angeles,Chicago,3511176886,625.908182034432,76
5484,Chicago,Phoenix,2976874333,834.2016216438773,67
4371,Houston,Houston,413885506,621.0713003667424,44
8143,Phoenix,Philadelphia,3867558539,765.283810769921,55
8061,Chicago,San Jose,3638795575,868.151604306304,53
4604,Phoenix,Los Angeles,2830356073,435.2874446852669,56
9873,Houston,San Diego,2011987344,775.3855091682866,1
3857,Chicago,Philadelphia,825446091,573.3362945077324,93
